2026-03-23 16:20:07 | week=2 sw=a level=    | global_stamina_recovery      |    0.15s | 
2026-03-23 16:20:08 | week=2 sw=b level=9   | load_subweek_state           |    0.51s | 780 players
2026-03-23 16:20:08 | week=2 sw=b level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:20:14 | week=2 sw=b level=9   | engine_call                  |    5.68s | 15 games
2026-03-23 16:20:20 | week=2 sw=b level=9   | phase1_store_results         |    5.94s | 15 results
2026-03-23 16:20:24 | week=2 sw=b level=9   | phase2_stat_accum            |    2.27s | 15 results
2026-03-23 16:20:24 | week=2 sw=b level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:20:25 | week=2 sw=b level=9   | phase2_stamina_injuries      |    0.91s | 
2026-03-23 16:20:26 | week=2 sw=b level=    | global_stamina_recovery      |    0.19s | 
2026-03-23 16:20:26 | week=2 sw=c level=9   | load_subweek_state           |    0.61s | 780 players
2026-03-23 16:20:27 | week=2 sw=c level=9   | build_payloads               |    1.12s | 15 games
2026-03-23 16:20:28 | week=2 sw=c level=3   | load_subweek_state           |    2.59s | 8423 players
2026-03-23 16:20:29 | week=2 sw=c level=3   | build_payloads               |    0.29s | 147 games
2026-03-23 16:20:33 | week=2 sw=c level=9   | engine_call                  |    5.68s | 15 games
2026-03-23 16:20:40 | week=2 sw=c level=9   | phase1_store_results         |    6.15s | 15 results
2026-03-23 16:20:49 | week=2 sw=c level=3   | engine_call                  |   19.87s | 147 games
2026-03-23 16:20:56 | week=2 sw=c level=3   | phase1_store_results         |    7.39s | 147 results
2026-03-23 16:20:59 | week=2 sw=c level=9   | phase2_stat_accum            |    2.57s | 15 results
2026-03-23 16:21:00 | week=2 sw=c level=9   | phase2_position_usage        |    0.55s | 
2026-03-23 16:21:01 | week=2 sw=c level=9   | phase2_stamina_injuries      |    1.72s | 
2026-03-23 16:21:18 | week=2 sw=c level=3   | phase2_stat_accum            |   16.57s | 147 results
2026-03-23 16:21:23 | week=2 sw=c level=3   | phase2_position_usage        |    4.62s | 
2026-03-23 16:21:36 | week=2 sw=c level=3   | phase2_stamina_injuries      |   13.83s | 
2026-03-23 16:21:37 | week=2 sw=c level=    | global_stamina_recovery      |    0.16s | 
2026-03-23 16:21:37 | week=2 sw=d level=9   | load_subweek_state           |    0.46s | 52 players
2026-03-23 16:21:37 | week=2 sw=d level=9   | build_payloads               |    0.00s | 1 games
2026-03-23 16:21:42 | week=2 sw=d level=9   | engine_call                  |    4.33s | 1 games
